input,target
89+756,845
5078+6768,11846
9606+2248,11854
109+255,364
50158+35345,85503
9+17,26
1685+605,2290
9+5,14
668+158,826
21327+21266,42593
5+9,14
46+57,103
346698+313558,660256
9+8,17
13408+16285,29693
57797+6789,64586
9+6,15
38+85,123
2219+8306,10525
8575+1008,9583
58205+14836,73041
8+5,13
2488+7635,10123
415726+32267,447993
27+97,124
874728+380515,1255243
9+8,17
946+478,1424
986+176,1162
6+5,11
5+9,14
8737+6057,14794
287+449,736
69+69,138
77+96,173
8+9,17
7+6,13
161936+542897,704833
75+25,100
8+9,17
76728+8306,85034
37+57,94
8+9,17
968178+358057,1326235
547+446,993
6+6,12
604359+208815,813174
63066+89967,153033
8+5,13
6425+8487,14912
765+766,1531
97909+44477,142386
166658+984195,1150853
48385+74065,122450
488789+160077,648866
30195+23838,54033
306809+948038,1254847
6+8,14
455125+496358,951483
398+595,993
35+25,60
965+809,1774
995855+262845,1258700
38+25,63
317+127,444
223745+194276,418021
86986+41585,128571
980369+624626,1604995
4006+3549,7555
4236+4439,8675
35+76,111
866+675,1541
500779+454519,955298
7+5,12
336027+128146,464173
938099+634206,1572305
40759+91699,132458
17016+99479,116495
75+89,164
65+59,124
645495+214517,860012
839+69,908
9+7,16
50429+74609,125038
23726+73286,97012
61515+21236,82751
98218+98837,197055
6938+5017,11955
1078+6808,7886
8+9,17
7477+5828,13305
15+57,72
7+8,15
8+5,13
54127+13006,67133
56+85,141
6+5,11
8+5,13
5+5,10
4586+298,4884
140718+5675,146393
6225+7066,13291
8318+5906,14224
11205+16719,27924
6+7,13
9+8,17
966+697,1663
21358+32159,53517
8+9,17
281959+941276,1223235
937+767,1704
407998+741117,1149115
68+18,86
699+89,788
233285+956447,1189732
656327+641598,1297925
6935+8795,15730
398+55,453
335985+128268,464253
10888+708,11596
36+56,92
62046+21037,83083
65499+98075,163574
5399+3548,8947
413776+387956,801732
57+68,125
9+5,14
37317+47199,84516
5+6,11
62665+97238,159903
36+98,134
85+46,131
9708+6256,15964
156+99,255
7707+395,8102
526+746,1272
9+7,16
186336+366688,553024
117+578,695
2559+3368,5927
2815+2969,5784
59887+67558,127445
7035+6735,13770
5+9,14
9+9,18
873227+354618,1227845
17+26,43
40429+683775,724204
77+28,105
929+856,1785
507567+120475,628042
6499+5898,12397
5+6,11
9648+498,10146
89266+24606,113872
6+6,12
995+155,1150
6+9,15
28+18,46
43485+25647,69132
10349+30608,40957
292399+985297,1277696
5+8,13
2718+9599,12317
7+5,12
89+8,97
424419+11546,435965
329+26,355
770715+67907,838622
59+39,98
983218+370608,1353826
18+86,104
98057+29228,127285
95737+35627,131364
324536+663879,988415
16+75,91
835+79,914
319+846,1165
467+58,525
52255+38709,90964
9386+895,10281
678+27,705
38+95,133
964367+460787,1425154
42586+12087,54673
25+96,121
6+8,14
7095+8509,15604
9+8,17
34808+89087,123895
55+15,70
5+7,12
5+5,10
815+9765,10580
9195+1327,10522
454335+557317,1011652
46+25,71
16+47,63
818025+978579,1796604
596+205,801
8+7,15
6427+5508,11935
5015+588,5603
5808+9415,15223
617019+866507,1483526
6908+1456,8364
916436+211987,1128423
85628+924236,1009864
2619+5239,7858
301206+128457,429663
9+5,14
8598+2096,10694
77+46,123
37+37,74
116+5469,5585
3378+7567,10945
922015+829007,1751022
298+99,397
73975+480768,554743
25+89,114
3076+33887,36963
6776+6215,12991
7+9,16
8+9,17
725+1638,2363
686+485,1171
6348+189,6537
921279+532337,1453616
43769+1147,44916
9+8,17
6+8,14
5+9,14
265586+241405,506991
86279+70945,157224
306159+311246,617405
3437+267,3704
7+6,13
9+7,16
441915+478737,920652
426+285,711
87+77,164
27+95,122
468+616,1084
9+5,14
5608+3835,9443
505+437,942
305+7456,7761
378+76439,76817
8+5,13
295+287,582
475+267,742
710875+841479,1552354
2615+5818,8433
322365+445496,767861
823018+235398,1058416
926+147,1073
48277+50645,98922
5+9,14
30498+67297,97795
22009+22557,44566
46275+94449,140724
518+759,1277
596667+743349,1340016
96+79,175
8125+9779,17904
756+265,1021
5858+9269,15127
219+818,1037
160278+664106,824384
7+9,16
836+898,1734
115+98,213
79539+37876,117415
478+946,1424
830847+241749,1072596
99365+376139,475504
16+99,115
77859+156005,233864
70928+4968,75896
9+6,15
117+285,402
285426+532839,818265
568+948,1516
86+55,141
770457+967516,1737973
45958+271055,317013
5+6,11
4927+6779,11706
696828+699766,1396594
4559+5796,10355
57+29,86
6+7,13
489+906,1395
7+75,82
7+675,682
59+48,107
9569+4935,14504
44945+55009,99954
5+6,11
931417+598106,1529523
344747+683325,1028072
77659+42789,120448
337+425,762
39+17,56
7+5,12
5+8,13
89+16,105
36355+86129,122484
816788+44638,861426
145+108,253
7+9,16
9167+9769,18936
7+6,13
909087+616696,1525783
96+87,183
68877+56366,125243
49398+99698,149096
2149+3919,6068
6+9,15
54475+20375,74850
429+228,657
29+99,128
82845+28397,111242
6+6,12
238+878,1116
9+55,64
5+6,11
76316+33748,110064
98697+72008,170705
1725+7807,9532
923517+443436,1366953
7606+48368,55974
96+75,171
89+58,147
696+26,722
117+509,626
56+47,103
8829+5625,14454
257+485,742
486819+278076,764895
997+719,1716
8216+5035,13251
7+5,12
24899+45227,70126
6968+6098,13066
985507+268709,1254216
128+5956,6084
71285+26115,97400
28+17,45
75+69,144
9+5,14
319+277,596
7947+5318,13265
19925+12026,31951
95287+6436,101723
564599+467309,1031908
5+7,12
7855+2965,10820
6917+1886,8803
60298+80626,140924
21198+28958,50156
48+78,126
969+437,1406
5+6,11
175+475,650
36+98,134
747895+569316,1317211
36+65,101
37+76,113
10239+97296,107535
88069+95895,183964
6+5,11
388+3267,3655
48+188,236
900666+696627,1597293
648+2606,3254
96+46,142
791135+267307,1058442
9+8,17
44736+83138,127874
60105+58185,118290
6276+2135,8411
7+7,14
46+55,101
5+6,11
5+6,11
9659+1539,11198
77+7,84
5+7,12
16299+71469,87768
2219+9449,11668
32288+1028,33316
7+9,16
67+6,73
6736+7175,13911
5109+8896,14005
719+126,845
75187+52568,127755
296528+450595,747123
8+8,16
53517+12658,66175
308+355,663
924958+742578,1667536
1686+34185,35871
6+9,15
964409+178578,1142987
29725+17625,47350
9+9,18
67+48,115
328959+982788,1311747
955885+614499,1570384
59+28,87
7+7,14
938+795,1733
5+65,70
5+9,14
448+235,683
9087+7779,16866
57+66,123
556+78,634
855+398,1253
7499+5056,12555
250927+776865,1027792
295+62405,62700
64978+11866,76844
25+7,32
986+947,1933
8108+18315,26423
50789+36676,87465
22298+29718,52016
293267+573745,867012
2069+6945,9014
745+595,1340
401249+389606,790855
95+86,181
34755+83949,118704
5645+2227,7872
30887+18658,49545
9+9,18
750989+292268,1043257
277+707,984
29+86,115
596105+92367,688472
2816+2108,4924
44258+45547,89805
18+36,54
127+35019,35146
26519+28798,55317
48+38,86
819597+665919,1485516
5+9,14
95+6,101
25287+62025,87312
6+6,12
8565+13538,22103
8+6,14
79+7,86
8+7,15
255+288,543
860259+357786,1218045
7+8,15
6+5,11
47896+27379,75275
767+3105,3872
9+7,16
768697+198455,967152
97527+97717,195244
725+715,1440
6388+939516,945904
999+876,1875
236+168,404
8+48,56
4545+2775,7320
908108+722945,1631053
877+736,1613
7+7,14
66946+56735,123681
16128+3645,19773
24778+62708,87486
167+349,516
59+35,94
427+607,1034
75+15,90
14546+67456,82002
69156+712748,781904
165+648,813
695559+95256,790815
130185+974346,1104531
5+6,11
7+95,102
315978+207949,523927
327286+807645,1134931
27+6,33
75337+37509,112846
758+777,1535
68+85,153
5+7,12
2116+6956,9072
28686+74145,102831
7259+5717,12976
99+336,435
16+67,83
376386+810115,1186501
27+79,106
6+8,14
57199+96215,153414
708526+664958,1373484
86376+11049,97425
7+5,12
679+866,1545
1765+6195,7960
6+6,12
45+907,952
9575+1626,11201
5+9,14
1925+565,2490
37937+38728,76665
106+209,315
9+6,15
77+78,155
9579+7888,17467
159+126,285
58+87,145
85959+6627,92586
9+5,14
5+5,10
399116+656898,1056014
898195+150806,1049001
26+55,81
7438+3608,11046
17158+25885,43043
347585+128117,475702
56+18,74
61299+87705,149004
9+7,16
15+48,63
830796+150857,981653
3007+9559,12566
49266+84278,133544
66668+67707,134375
7+7,14
8+9,17
786+285,1071
5+6,11
655409+740529,1395938
5326+9396,14722
534125+113989,648114
4195+3828,8023
6157+76016,82173
88+847,935
90707+26847,117554
50346+52857,103203
9+5,14
38+19,57
979805+977499,1957304
639759+948827,1588586
7+5,12
90329+49679,140008
35766+68009,103775
7479+4507,11986
891058+455289,1346347
20557+70589,91146
6+5,11
6+8,14
418+379,797
55+7,62
5+8,13
26+65,91
471845+461185,933030
5595+4099,9694
87607+73829,161436
401698+846576,1248274
68826+16308,85134
242159+554889,797048
8918+1659,10577
543276+373828,917104
2978+22915,25893
35+7,42
39699+21237,60936
35186+43915,79101
826+3119,3945
36+6,42
9+9,18
7+5,12
878188+455679,1333867
69+79,148
876926+279805,1156731
2868+1128,3996
19+96,115
48+59,107
685+807,1492
5+8,13
808+968,1776
575276+903298,1478574
916985+70139,987124
601589+697647,1299236
99+55,154
30575+31656,62231
3357+4707,8064
756+87,843
62496+64219,126715
795286+185135,980421
8689+7707,16396
998+387,1385
9+7,16
438+965,1403
99526+69326,168852
39+5,44
395+156,551
55+48,103
545+718,1263
7+7,14
6+6,12
7+8,15
777+277,1054
9+5,14
297+66,363
6+8,14
829+966,1795
37636+60485,98121
28+19,47
365+405,770
7425+193228,200653
45+15,60
6237+4187,10424
1628+7677,9305
454406+972807,1427213
537+715,1252
764755+883435,1648190
545+418,963
405+6429,6834
9+5,14
12245+764335,776580
3195+689,3884
755735+137859,893594
3636+477,4113
423459+913075,1336534
908+936,1844
8299+1545,9844
9759+8268,18027
342737+693557,1036294
256+95,351
9+9,18
739+256,995
84538+31909,116447
919+749,1668
9+9,18
29+65,94
8+6,14
488488+54999,543487
753147+97669,850816
96828+561106,657934
262465+19977,282442
8429+9546,17975
35007+37348,72355
15567+8326,23893
49+89,138
148+478,626
8+5,13
486+655,1141
97+8,105
257+777,1034
945+958,1903
127+565,692
3985+7785,11770
3099+9015,12114
8+9,17
518626+773405,1292031
5339+1019,6358
717+338,1055
5+9,14
6+8,14
2739+816,3555
48+38,86
2599+3235,5834
209+199,408
30937+80305,111242
2947+6189,9136
7+6,13
6875+6347,13222
96+47,143
5+9,14
19+7,26
72766+32488,105254
448+329,777
98+99,197
217+815,1032
177+889,1066
6+5,11
921105+184796,1105901
9355+1498,10853
9+6,15
31897+61127,93024
7+9,16
99075+9708,108783
3266+6746,10012
73845+27035,100880
16+79,95
53299+58648,111947
956+186,1142
8158+3765,11923
7+9,16
59+28,87
713339+163257,876596
7+5,12
6739+80976,87715
237+146,383
978+86,1064
32165+99379,131544
819446+105999,925445
435327+87625,522952
317925+261248,579173
7235+5708,12943
717+437,1154
77+89,166
7+6,13
77+87,164
9485+9608,19093
468+298,766
33345+48069,81414
688387+662917,1351304
8777+2229,11006
45206+32318,77524
26546+14566,41112
42205+55618,97823
6+8,14
379939+172625,552564
29+96,125
7+8,15
863427+172338,1035765
7546+5537,13083
78158+75335,153493
155965+744285,900250
26+45,71
1157+3856,5013
75+45,120
8+7,15
136+957,1093
188+386,574
958238+495496,1453734
87+18,105
11929+22889,34818
266+435,701
848+56,904
98+95,193
957768+763419,1721187
65525+76189,141714
807007+14616,821623
9+7,16
9+7,16
647439+522766,1170205
16+8,24
6+7,13
40666+19919,60585
933917+702605,1636522
874789+222517,1097306
7876+335487,343363
77+75,152
79+39,118
68+66,134
487+878,1365
6+8,14
1397+7618,9015
9+5,14
657+699,1356
198386+359517,557903
39237+3625,42862
919765+727287,1647052
65+265,330
18+25,43
857257+547887,1405144
9+36,45
43455+20298,63753
7+9,16
446778+715986,1162764
8099+4739,12838
127708+529738,657446
9406+3686,13092
642306+159399,801705
17+76,93
109+207,316
326738+755875,1082613
49879+67989,117868
49789+759,50548
76+955,1031
1636+175,1811
26+7,33
7+6,13
647076+135467,782543
25+16,41
8369+2729,11098
536+815,1351
455487+447635,903122
525+759,1284
385+805,1190
47+68,115
179+286,465
79+59,138
95417+23899,119316
826+608,1434
629+476,1105
286665+41428,328093
2777+1136,3913
49796+78749,128545
268+895,1163
588335+50907,639242
28+9,37
919+369,1288
881615+767946,1649561
6+45,51
48+427,475
6+7,13
4615+3038,7653
5297+1406,6703
777+496,1273
8+9,17
488+936,1424
9+9,18
440835+410499,851334
29+68,97
11919+85675,97594
4067+2325,6392
988+968,1956
9+7,16
525885+112729,638614
788+598,1386
28948+41238,70186
679+875,1554
888+236,1124
46466+84295,130761
658+575,1233
913199+300916,1214115
76+19,95
3166+5408,8574
23189+23578,46767
106975+423497,530472
23529+66669,90198
7+58,65
88+68,156
61458+87516,148974
74917+91576,166493
391589+827115,1218704
516+315,831
5+7,12
7+8,15
629247+95518,724765
37205+32305,69510
23689+16399,40088
249329+390198,639527
12569+40898,53467
21485+277979,299464
968+376,1344
95945+23617,119562
75016+40217,115233
675+575,1250
197+8198,8395
66+48,114
1376+6549,7925
48789+329235,378024
8+28,36
947+865,1812
9+5,14
7+7,14
90298+1769,92067
7919+27046,34965
5+6,11
5+5,10
16139+39079,55218
498+145,643
869+687,1556
9+8,17
78+48,126
8+6,14
4085+6805,10890
128598+119588,248186
598+799,1397
14237+63305,77542
6185+137,6322
548+627,1175
4429+91848,96277
10839+18535,29374
85735+1397,87132
67+18,85
8+5,13
4749+2845,7594
58368+88939,147307
17+76,93
69367+71669,141036
129+295,424
56+6,62
9+5,14
5568+1295,6863
202636+661786,864422
593057+602366,1195423
4999+7828,12827
327496+412966,740462
7197+8588,15785
39+79,118
64458+56046,120504
347+208,555
958+528,1486
11449+322825,334274
7+6,13
6496+8747,15243
3726+4765,8491
8+69,77
944238+113249,1057487
9+7,16
5+57,62
74635+191669,266304
8775+6896,15671
95+5,100
8+8,16
8855+6497,15352
45+29,74
33059+87569,120628
69+69,138
8+5,13
440829+998058,1438887
2216+5977,8193
534649+581578,1116227
7+9,16
626585+494876,1121461
1709+9886,11595
532347+873357,1405704
7+8,15
4897+8695,13592
85265+70706,155971
857719+411025,1268744
837+775,1612
696+759,1455
9+6,15
83505+77449,160954
183597+852509,1036106
7+7,14
460838+177506,638344
867+808,1675
33765+330356,364121
9748+1026,10774
47+35,82
166+556,722
39+58,97
236+476,712
5358+2747,8105
3045+4337,7382
197558+408268,605826
7359+297,7656
55875+26187,82062
4076+6945,11021
2106+2526,4632
6265+56828,63093
6117+1755,7872
35+6,41
5+68,73
5+8,13
57+67,124
48+89,137
7389+4778,12167
18519+31775,50294
996+156,1152
97236+46508,143744
7+5,12
25+76,101
165048+493247,658295
61126+586527,647653
1668+5907,7575
113345+685698,799043
807+619,1426
2648+8836,11484
25+57,82
7+5,12
858+985,1843
29815+73415,103230
5+7,12
6827+7249,14076
4246+5985,10231
95+25,120
8148+6568,14716
759126+443326,1202452
45+47,92
482689+940487,1423176
2769+2525,5294
1695+5195,6890
24079+81807,105886
205+835,1040
22857+25665,48522
1319+6446,7765
83959+877359,961318
605+446,1051
479+415,894
5409+825,6234
154579+768466,923045
557+986,1543
201869+86876,288745
45+97,142
289+406,695
39409+91179,130588
4517+6096,10613
3019+6216,9235
97+36,133
345255+366248,711503
503599+560565,1064164
7+66,73
410665+495085,905750
29+175,204
180658+949547,1130205
6+9,15
7+8,15
706+207,913
747+959,1706
768+588,1356
7+6,13
85579+43885,129464
48+46,94
17+36,53
719889+699809,1419698
6757+2265,9022
7596+6438,14034
339+549,888
6+5,11
64677+51387,116064
396+607,1003
79+915,994
3438+5298,8736
9+9,18
7+7,14
86905+16358,103263
49376+45967,95343
4258+5498,9756
8+5,13
587+279,866
15+9,24
560995+252508,813503
5+9,14
7+5,12
727207+74505,801712
542598+465497,1008095
38448+69148,107596
270225+826765,1096990
8+25,33
49+5,54
46+16,62
66437+26549,92986
69+9,78
56+9,65
6869+7306,14175
8766+3097,11863
7357+36,7393
96+917,1013
51228+38,51266
49+6,55
8+9,17
857+356,1213
69+96,165
29+7,36
2147+5,2152
6518+2376,8894
895+1779,2674
869+938,1807
16+29,45
15+85,100
27797+69717,97514
1917+6986,8903
6+7,13
18+9,27
4106+1217,5323
6+7,13
8729+5028,13757
289348+926105,1215453
6+9,15
7+7,14
50775+25196,75971
90086+16897,106983
6+5,11
2776+1605,4381
9169+9648,18817
9587+2856,12443
925+878,1803
5+9,14
8+6,14
738+59,797
6079+8517,14596
362287+344348,706635
12947+76987,89934
5945+3706,9651
58+25,83
268+809,1077
5+9,14
6659+19775,26434
597+318,915
3255+3135,6390
2295+90399,92694
486+76,562
19547+51245,70792
728+799,1527
356629+270087,626716
79+39,118
24598+53798,78396
9+8,17
5+7,12
6+6,12
31866+1217,33083
7+9,16
81229+478788,560017
9+5,14
18+37,55
638+998,1636
8+6,14
508+579,1087
2356+3495,5851
6+6,12
769+928,1697
84455+47917,132372
55+38,93
8+7,15
58906+656895,715801
140387+912868,1053255
8+8,16
789+76,865
75+38,113
8165+8408,16573
27+76,103
7036+1449,8485
5+36,41
94016+21689,115705
318435+390586,709021
859+5765,6624
554467+263426,817893
37926+753427,791353
397+325,722
67265+52539,119804
858826+6076,864902
3306+9786,13092
78188+43316,121504
1389+3105,4494
4297+5557,9854
9926+1446,11372
6+5,11
8+9,17
866+149,1015
7+6,13
3607+5117,8724
509427+748097,1257524
257+935,1192
718+465,1183
2178+4255,6433
813395+463537,1276932
56965+425147,482112
751325+555185,1306510
317155+430908,748063
188+555,743
288079+754188,1042267
1805+6525,8330
8908+1665,10573
5615+4167,9782
427+578,1005
8+6,14
348968+446135,795103
764339+71385,835724
7+8,15
5616+9256,14872
970675+217076,1187751
3176+6668,9844
87+836,923
66+16,82
8057+9927,17984
537+6236,6773
95+9,104
47+45,92
475419+406405,881824
68+56,124
3078+5045,8123
4319+5265,9584
69148+18115,87263
5+89,94
6+7,13
97+48,145
7137+69159,76296
89+78,167
721156+673959,1395115
1228+3129,4357
559+686,1245
48147+17226,65373
6+7,13
424978+386317,811295
145+935,1080
885+925,1810
508+639,1147
7+6,13
308738+363355,672093
9+5,14
658+549,1207
9+5,14
338+218,556
3195+2785,5980
88585+937657,1026242
718+1395,2113
517476+939897,1457373
9+8,17
1068+2725,3793
3488+9367,12855
16+46,62
287+606,893
99+77,176
624287+540069,1164356
18488+63498,81986
59+89,148
478397+188136,666533
91976+7468,99444
66+87,153
3189+7688,10877
119816+763047,882863
40687+45657,86344
5786+5745,11531
58+7,65
2646+5488,8134
686+908,1594
48+26,74
718+559,1277
40676+44188,84864
4078+7028,11106
68986+85299,154285
475695+597825,1073520
819929+428006,1247935
56+67,123
46+6,52
163246+630487,793733
40725+44286,85011
67759+4097,71856
94536+18738,113274
58+36,94
34296+88035,122331
8618+82597,91215
939+907,1846
7+6,13
308+9509,9817
9+8,17
77+688,765
91619+84699,176318
9297+1627,10924
16835+44745,61580
1316+5855,7171
318+117,435
337+509,846
867+386,1253
649227+946998,1596225
7+85,92
96+935,1031
39+97,136
9139+6806,15945
794929+686749,1481678
67+18,85
457+1987,2444
825+776,1601
527+806,1333
89+95,184
28777+11099,39876
17+455,472
86+87,173
9+9,18
106+528,634
256+217,473
29+55,84
40125+80879,121004
6765+6645,13410
126629+145819,272448
329+587,916
386+926,1312
9+5,14
6027+9317,15344
497+576,1073
5957+2035,7992
475+206,681
31706+36009,67715
323906+262986,586892
6+5,11
1446+6706,8152
528+358,886
94896+20306,115202
749688+452858,1202546
29608+1378,30986
307+169,476
89+66,155
25+29,54
675227+467597,1142824
69+59,128
159+339,498
9+5,14
63079+493409,556488
40755+63945,104700
8387+9458,17845
84148+90056,174204
6196+6527,12723
916+1026,1942
5799+8738,14537
605+809,1414
603439+767367,1370806
71795+43178,114973
7+5,12
430387+976435,1406822
37367+76209,113576
68448+1246,69694
248967+170359,419326
7028+787,7815
5017+3967,8984
87+5695,5782
665+1389,2054
5048+6887,11935
76738+65839,142577
699+488,1187
81035+569175,650210
9236+1726,10962
7+7,14
6+6,12
46826+38318,85144
40479+39266,79745
40958+89667,130625
8+9,17
56+36,92
9068+2755,11823
85+86,171
47+35,82
66+6,72
8+8,16
66798+59758,126556
549155+772366,1321521
9+9,18
255+18,273
49+16,65
426348+307235,733583
7427+4746,12173
8358+7198,15556
426+455,881
983127+751935,1735062
84357+38187,122544
877+137,1014
685+337,1022
763555+142849,906404
7+8,15
2327+3788,6115
5+8,13
8727+827277,836004
943985+91936,1035921
411909+425607,837516
87+25,112
5645+9297,14942
59+35,94
527+716,1243
25+55,80
38309+78525,116834
65505+40657,106162
35+369,404
15+66,81
495+339,834
2037+6189,8226
787+649,1436
56787+449137,505924
7736+3757,11493
35+19,54
28186+33568,61754
7027+9015,16042
837+9516,10353
25+77,102
9+5,14
8+5,13
8+6,14
908+536,1444
7+7,14
9+6,15
97+66,163
426+737,1163
767+578,1345
25+69,94
75+28,103
265+418,683
62579+71257,133836
950965+771337,1722302
37+57,94
716+955,1671
27+48,75
8416+8055,16471
139+358,497
8+7,15
3006+5105,8111
39+48,87
9+5,14
97+37,134
377+789,1166
106+236,342
855197+53086,908283
6049+7688,13737
62976+48828,111804
8+9,17
88097+804638,892735
9539+9339,18878
58507+42048,100555
8+6,14
7128+7815,14943
38+65,103
7+7,14
568+636,1204
69+7,76
6927+3196,10123
6+5,11
9+5,14
581456+645615,1227071
78+458,536
862285+701158,1563443
707+936,1643
9928+6239,16167
97+77,174
8+5,13
6+5,11
677+816,1493
36996+78017,115013
9+6,15
267+768,1035
996+548,1544
9498+619,10117
4627+4976,9603
5+8,13
659799+422709,1082508
766565+610937,1377502
57+46,103
4806+3165,7971
857118+44316,901434
5+6,11
579+115,694
36687+64647,101334
89+19,108
26+9,35
48+37,85
9+5,14
328+908,1236
144757+408898,553655
4746+7625,12371
27815+83016,110831
8+9,17
5+8,13
7+7,14
577+108,685
6+9,15
6+8,14
708647+123188,831835
4377+4616,8993
5+9,14
907+445,1352
5+5,10
3059+8589,11648
949+149,1098
7+9,16
838+996,1834
7+6,13
3056+1528,4584
647+396,1043
281149+543087,824236
8+5,13
89+89,178
968+587,1555
8+7,15
5+7,12
965+235,1200
697946+936765,1634711
31258+8645,39903
9+86,95
643567+201796,845363
4146+7677,11823
531967+872897,1404864
28645+30069,58714
36+49,85
17+39,56
2128+4107,6235
5+5,10
65+56,121
85+88,173
8+6,14
8+5,13
6+8,14
6+8,14
37126+80097,117223
75+98,173
57+66,123
105+369,474
88259+95165,183424
9+6,15
6+45,51
5+6,11
66+25,91
48+6,54
90768+64759,155527
839827+310226,1150053
836+927,1763
7499+9107,16606
84618+9945,94563
6+6,12
556+486,1042
16+47,63
76+49,125
2617+4757,7374
2399+6806,9205
185+488,673
59+8,67
16319+80599,96918
718+857,1575
4046+107,4153
80028+58095,138123
4498+7889,12387
958148+45899,1004047
25+68,93
20116+95537,115653
7+8,15
8+7,15
439+429,868
948168+95908,1044076
32786+91119,123905
975309+430398,1405707
79+27,106
7+8,15
8539+1216,9755
5575+8206,13781
8+7,15
7+7,14
6447+95506,101953
3199+3368,6567
827+885,1712
70827+670709,741536
987248+261615,1248863
287+118,405
4809+7886,12695
8089+2466,10555
185+516,701
76+65,141
2076+8547,10623
27385+94086,121471
8+6,14
95389+20788,116177
7+9,16
89+99,188
7+5,12
6+6,12
3506+1077,4583
39+499,538
6+6,12
705205+286878,992083
57+49,106
526+509,1035
66+48,114
87+59,146
134186+809177,943363
9+9,18
336+759,1095
78+7,85
77905+67978,145883
106+135,241
2315+826,3141
905+736,1641
60105+32018,92123
6906+4457,11363
9+7,16
317516+607668,925184
969619+439227,1408846
731796+764376,1496172
348+6345,6693
3588+375,3963
33918+70387,104305
7815+7668,15483
578+145,723
12959+81296,94255
231106+926549,1157655
2769+7825,10594
67+38,105
7+5,12
56+76,132
9+6,15
66+36,102
898+767,1665
889+596,1485
4626+2775,7401
1329+6027,7356
667+116,783
553065+370329,923394
669+68,737
38+556,594
5+6,11
991628+12929,1004557
57367+109016,166383
31865+95495,127360
408+385,793
51047+90345,141392
5346+9749,15095
924369+430087,1354456
16+68,84
2747+1367,4114
715+956,1671
49+29,78
85+7,92
60587+734878,795465
337+85,422
95+798,893
99+5,104
9999+429,10428
164076+516008,680084
925+968,1893
6228+1889,8117
308+577,885
19708+11837,31545
275+629,904
8+8,16
9117+977,10094
6+6,12
35+7,42
7959+4818,12777
6+7,13
29+15,44
2977+9948,12925
57+28,85
600549+177809,778358
326+525,851
37+99,136
6+7,13
881525+393909,1275434
33805+75566,109371
97+95,192
97+36,133
17+16,33
5+8,13
7+8,15
28+26,54
833966+831919,1665885
729+469,1198
47+6,53
3588+4719,8307
72636+14146,86782
899+756,1655
46828+72017,118845
27+17,44
4489+8196,12685
79+75,154
577+947,1524
19+677,696
96+26,122
19+65,84
58+99,157
87+95,182
3887+5138,9025
5+7,12
4458+5086,9544
529+287,816
7539+12347,19886
69+6,75
77+185,262
199+66,265
65+95,160
1927+516,2443
189+866,1055
7+7,14
5+68,73
8078+2929,11007
76+96,172
1127+48719,49846
387+18,405
675+318,993
1199+4196,5395
89+35,124
449+97218,97667
5+8,13
7+68,75
45+55,100
98+56,154
687656+453077,1140733
8+7,15
329+519,848
4265+6038,10303
7+5,12
500937+176849,677786
7278+4409,11687
253366+887589,1140955
7+7,14
269+435,704
253107+419069,672176
654979+879126,1534105
39+19,58
593199+463307,1056506
514485+718798,1233283
67467+210805,278272
48+58,106
15578+95779,111357
16046+18755,34801
926+598,1524
967905+47889,1015794
45+45,90
97+48,145
9086+3515,12601
6467+2679,9146
86+57,143
37+26,63
7025+1138,8163
5+5,10
25+176,201
56+17,73
399+366,765
6817+109,6926
509+6128,6637
87+47,134
977+245,1222
3847+35379,39226
91727+97407,189134
686508+1715,688223
9977+9397,19374
545265+78248,623513
5+5,10
88429+95609,184038
8+6,14
9+6,15
6216+32107,38323
636+405,1041
639+76,715
468+408,876
3898+8436,12334
6256+5939,12195
68467+35458,103925
56+79,135
68365+28209,96574
2075+2038,4113
468+345,813
375+416,791
45+58,103
9347+4177,13524
65+17,82
6+6,12
17+26,43
85+67,152
7+6,13
249+546,795
1748+8419,10167
38+37,75
49886+61796,111682
226847+572999,799846
548+45,593
288+169,457
4639+6659,11298
551316+332266,883582
7+6,13
894836+633597,1528433
7165+9829,16994
335+768,1103
6+9,15
5947+4568,10515
42065+45228,87293
25428+39795,65223
84798+85686,170484
859+55,914
3976+6139,10115
65595+252678,318273
7+9,16
806+469,1275
8+7,15
8+6,14
3076+9305,12381
2997+71696,74693
42096+93295,135391
4559+8707,13266
816415+564707,1381122
2518+6676,9194
280288+695239,975527
3829+8177,12006
126+226,352
640465+285109,925574
6+5,11
206+346,552
8+5,13
89+87,176
712896+863047,1575943
7+5,12
478769+424959,903728
86995+33379,120374
67845+93727,161572
9+6,15
569+355,924
48506+17475,65981
7+6,13
8+6,14
8816+235,9051
8867+248,9115
8+8,16
52779+28055,80834
45+89,134
233989+794907,1028896
2888+9549,12437
55+57,112
67+75,142
987+688,1675
86+5,91
7+6,13
8+5,13
6+8,14
6445+179,6624
49+29,78
47+27,74
8646+358287,366933
16+28,44
8+7,15
57+68,125
2786+2129,4915
386496+146505,533001
52006+32449,84455
359+6189,6548
494189+29637,523826
5+57,62
6216+8377,14593
9007+43868,52875
6+65,71
197257+960729,1157986
69096+66956,136052
15+9,24
289+988,1277
77389+57946,135335
87+67,154
69+37,106
706017+652855,1358872
940819+578056,1518875
7+5,12
8867+819,9686
5+9,14
925+497,1422
7099+2015,9114
638238+350748,988986
9+8,17
349+936,1285
5+8,13
8687+9038,17725
88+66,154
7+6,13
58+16,74
78+89,167
685016+781107,1466123
58+98,156
399+775,1174
2466+819,3285
687+199,886
